airport_identifier,airport_size,airport_name,elevation_ft,continent,country,iso_region,municipality,gps_code,iata_code,local_code,coordinates
CYPR,medium_airport,Prince Rupert Airport,116.0,NA,CA,CA-BC,Prince Rupert,CYPR,YPR,,"-130.445007324, 54.286098480199996"
CYPW,medium_airport,Powell River Airport,425.0,NA,CA,CA-BC,Powell River,CYPW,YPW,,"-124.5, 49.83420181274414"
CYPX,medium_airport,Puvirnituq Airport,74.0,NA,CA,CA-QC,Puvirnituq,CYPX,YPX,,"-77.28690338134766, 60.05059814453125"
CYPY,medium_airport,Fort Chipewyan Airport,761.0,NA,CA,CA-AB,Fort Chipewyan,CYPY,YPY,,"-111.11699676513672, 58.7672004699707"
CYPZ,small_airport,Burns Lake Airport,2343.0,NA,CA,CA-BC,Burns Lake,CYPZ,YPZ,YPZ,"-125.950996399, 54.3763999939"
CYQA,medium_airport,Muskoka Airport,925.0,NA,CA,CA-ON,Muskoka,CYQA,YQA,,"-79.30329895019531, 44.974700927734375"
CYQB,medium_airport,Quebec Jean Lesage International Airport,244.0,NA,CA,CA-QC,Quebec,CYQB,YQB,YQB,"-71.393303, 46.7911"
CYQD,medium_airport,The Pas Airport,887.0,NA,CA,CA-MB,The Pas,CYQD,YQD,,"-101.09100341796875, 53.97140121459961"
CYQF,medium_airport,Red Deer Regional Airport,2968.0,NA,CA,CA-AB,Red Deer,CYQF,YQF,,"-113.89399719238281, 52.18220138549805"
CYQG,medium_airport,Windsor Airport,622.0,NA,CA,CA-ON,Windsor,CYQG,YQG,,"-82.95559692382812, 42.27560043334961"
CYQH,medium_airport,Watson Lake Airport,2255.0,NA,CA,CA-YT,Watson Lake,CYQH,YQH,,"-128.82200622558594, 60.11640167236328"
CYQI,medium_airport,Yarmouth Airport,141.0,NA,CA,CA-NS,Yarmouth,CYQI,YQI,,"-66.08809661865234, 43.826900482177734"
CYQK,medium_airport,Kenora Airport,1332.0,NA,CA,CA-ON,Kenora,CYQK,YQK,,"-94.36309814453125, 49.788299560546875"
CYQL,medium_airport,Lethbridge County Airport,3048.0,NA,CA,CA-AB,Lethbridge,CYQL,YQL,,"-112.800003052, 49.6302986145"
CYQM,medium_airport,Greater Moncton International Airport,232.0,NA,CA,CA-NB,Moncton,CYQM,YQM,,"-64.67859649658203, 46.11220169067383"
CYQN,medium_airport,Nakina Airport,1057.0,NA,CA,CA-ON,Nakina,CYQN,YQN,,"-86.69640350341797, 50.18280029296875"
CYQQ,medium_airport,Comox Airport,84.0,NA,CA,CA-BC,Comox,CYQQ,YQQ,,"-124.88700103759766, 49.71080017089844"
CYQR,medium_airport,Regina International Airport,1894.0,NA,CA,CA-SK,Regina,CYQR,YQR,,"-104.66600036621094, 50.43190002441406"
CYQS,medium_airport,St Thomas Municipal Airport,778.0,NA,CA,CA-ON,St Thomas,CYQS,YQS,,"-81.11080169677734, 42.77000045776367"
CYQT,medium_airport,Thunder Bay Airport,653.0,NA,CA,CA-ON,Thunder Bay,CYQT,YQT,,"-89.32389831542969, 48.37189865112305"
CYQU,medium_airport,Grande Prairie Airport,2195.0,NA,CA,CA-AB,Grande Prairie,CYQU,YQU,,"-118.885002136, 55.1796989441"
CYQV,medium_airport,Yorkton Municipal Airport,1635.0,NA,CA,CA-SK,Yorkton,CYQV,YQV,,"-102.46199798583984, 51.26470184326172"
CYQW,medium_airport,North Battleford Airport,1799.0,NA,CA,CA-SK,North Battleford,CYQW,YQW,,"-108.24400329589844, 52.76919937133789"
CYQX,medium_airport,Gander International Airport,496.0,NA,CA,CA-NL,Gander,CYQX,YQX,,"-54.56809997558594, 48.9369010925293"
CYQY,medium_airport,Sydney / J.A. Douglas McCurdy Airport,203.0,NA,CA,CA-NS,Sydney,CYQY,YQY,,"-60.047798, 46.1614"
CYQZ,medium_airport,Quesnel Airport,1789.0,NA,CA,CA-BC,Quesnel,CYQZ,YQZ,,"-122.51000213623047, 53.026100158691406"
CYRA,medium_airport,Rae Lakes Airport,723.0,NA,CA,CA-NT,GamÃ¨tÃ¬,CYRA,YRA,,"-117.30999755859375, 64.11609649658203"
CYRB,medium_airport,Resolute Bay Airport,215.0,NA,CA,CA-NU,Resolute Bay,CYRB,YRB,,"-94.9693984985, 74.7169036865"
CYRI,medium_airport,RiviÃ¨re-du-Loup Airport,427.0,NA,CA,CA-QC,RiviÃ¨re-du-Loup,CYRI,YRI,,"-69.58470153808594, 47.764400482177734"
CYRJ,medium_airport,Roberval Airport,586.0,NA,CA,CA-QC,Roberval,CYRJ,YRJ,,"-72.2656021118164, 48.52000045776367"
CYRL,medium_airport,Red Lake Airport,1265.0,NA,CA,CA-ON,Red Lake,CYRL,YRL,,"-93.79309844970703, 51.066898345947266"
CYRM,small_airport,Rocky Mountain House Airport,3244.0,NA,CA,CA-AB,Rocky Mountain House,CYRM,YRM,,"-114.903999329, 52.4296989441"
CYRO,medium_airport,Ottawa / Rockcliffe Airport,188.0,NA,CA,CA-ON,Ottawa,CYRO,YRO,CYRO,"-75.64610290530001, 45.4603004456"
CYRQ,medium_airport,Trois-RiviÃ¨res Airport,199.0,NA,CA,CA-QC,Trois-RiviÃ¨res,CYRQ,YRQ,,"-72.67939758300781, 46.35279846191406"
CYRS,medium_airport,Red Sucker Lake Airport,729.0,NA,CA,CA-MB,Red Sucker Lake,CYRS,YRS,,"-93.55719757080078, 54.167198181152344"
CYRT,medium_airport,Rankin Inlet Airport,94.0,NA,CA,CA-NU,Rankin Inlet,CYRT,YRT,,"-92.1157989502, 62.8114013672"
CYRV,medium_airport,Revelstoke Airport,1459.0,NA,CA,CA-BC,Revelstoke,CYRV,YRV,,"-118.182998657, 50.9667015076"
CYSB,medium_airport,Sudbury Airport,1141.0,NA,CA,CA-ON,Sudbury,CYSB,YSB,,"-80.79889678955078, 46.625"
CYSC,medium_airport,Sherbrooke Airport,792.0,NA,CA,CA-QC,Sherbrooke,CYSC,YSC,,"-71.69139862060547, 45.4385986328125"
CYSE,small_airport,Squamish Airport,171.0,NA,CA,CA-BC,Squamish,CYSE,YSE,YSE,"-123.162002563, 49.7817001343"
CYSF,medium_airport,Stony Rapids Airport,805.0,NA,CA,CA-SK,Stony Rapids,CYSF,YSF,,"-105.84100341796875, 59.250301361083984"
CYSH,medium_airport,Smiths Falls-Montague (Russ Beach) Airport,416.0,NA,CA,CA-ON,Smiths Falls,CYSH,YSH,,"-75.94059753417969, 44.94580078125"
CYSJ,medium_airport,Saint John Airport,357.0,NA,CA,CA-NB,Saint John,CYSJ,YSJ,,"-65.89029693603516, 45.31610107421875"
CYSK,medium_airport,Sanikiluaq Airport,104.0,NA,CA,CA-NU,Sanikiluaq,CYSK,YSK,,"-79.2466964722, 56.5377998352"
CYSL,medium_airport,St Leonard Airport,793.0,NA,CA,CA-NB,St Leonard,CYSL,YSL,,"-67.83470153808594, 47.157501220703125"
CYSM,medium_airport,Fort Smith Airport,671.0,NA,CA,CA-NT,Fort Smith,CYSM,YSM,,"-111.96199798583984, 60.020301818847656"
CYSN,medium_airport,Niagara District Airport,321.0,NA,CA,CA-ON,St Catharines,CYSN,YCM,,"-79.17169952392578, 43.19169998168945"
CYSP,medium_airport,Marathon Airport,1035.0,NA,CA,CA-ON,Marathon,CYSP,YSP,,"-86.34439849853516, 48.75529861450195"
CYST,medium_airport,St. Theresa Point Airport,773.0,NA,CA,CA-MB,St. Theresa Point,CYST,YST,,"-94.85189819335938, 53.84560012817383"
CYSU,medium_airport,Summerside Airport,56.0,NA,CA,CA-PE,Summerside,CYSU,YSU,,"-63.83359909057617, 46.44060134887695"
CYSY,medium_airport,Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,282.0,NA,CA,CA-NT,Sachs Harbour,CYSY,YSY,,"-125.242996216, 71.9938964844"
CYTA,medium_airport,Pembroke Airport,529.0,NA,CA,CA-ON,Pembroke,CYTA,YTA,,"-77.25170135498047, 45.86439895629883"
CYTE,medium_airport,Cape Dorset Airport,164.0,NA,CA,CA-NU,Cape Dorset,CYTE,YTE,,"-76.5267028809, 64.2300033569"
CYTF,medium_airport,Alma Airport,445.0,NA,CA,CA-QC,Alma,CYTF,YTF,,"-71.64189910889999, 48.50889968869999"
CYTH,medium_airport,Thompson Airport,729.0,NA,CA,CA-MB,Thompson,CYTH,YTH,,"-97.86419677734375, 55.80110168457031"
CYTL,medium_airport,Big Trout Lake Airport,729.0,NA,CA,CA-ON,Big Trout Lake,CYTL,YTL,,"-89.89689636230469, 53.81779861450195"
CYTQ,medium_airport,Tasiujaq Airport,122.0,NA,CA,CA-QC,Tasiujaq,CYTQ,YTQ,,"-69.95580291748047, 58.66780090332031"
CYTR,medium_airport,CFB Trenton,283.0,NA,CA,CA-ON,Trenton,CYTR,YTR,,"-77.5280990600586, 44.118900299072266"
CYTS,medium_airport,Timmins/Victor M. Power,967.0,NA,CA,CA-ON,Timmins,CYTS,YTS,,"-81.376701355, 48.569698333699996"
CYTZ,medium_airport,Billy Bishop Toronto City Centre Airport,252.0,NA,CA,CA-ON,Toronto,CYTZ,YTZ,,"-79.396202, 43.627499"
CYUB,medium_airport,Tuktoyaktuk Airport,15.0,NA,CA,CA-NT,Tuktoyaktuk,CYUB,YUB,,"-133.0260009765625, 69.43329620361328"
CYUL,large_airport,Montreal / Pierre Elliott Trudeau International Airport,118.0,NA,CA,CA-QC,MontrÃ©al,CYUL,YUL,YUL,"-73.7407989502, 45.4706001282"
CYUT,medium_airport,Repulse Bay Airport,80.0,NA,CA,CA-NU,Repulse Bay,CYUT,YUT,,"-86.22470092770001, 66.5214004517"
CYUX,medium_airport,Hall Beach Airport,30.0,NA,CA,CA-NU,Hall Beach,CYUX,YUX,,"-81.2425, 68.77610015869999"
CYUY,medium_airport,Rouyn Noranda Airport,988.0,NA,CA,CA-QC,Rouyn-Noranda,CYUY,YUY,,"-78.83560180664062, 48.20610046386719"
CYVB,medium_airport,Bonaventure Airport,123.0,NA,CA,CA-QC,Bonaventure,CYVB,YVB,,"-65.46029663085938, 48.07109832763672"
CYVC,medium_airport,La Ronge Airport,1242.0,NA,CA,CA-SK,La Ronge,CYVC,YVC,,"-105.262001038, 55.151401519800004"
CYVG,small_airport,Vermilion Airport,2025.0,NA,CA,CA-AB,Vermilion,CYVG,YVG,YVG,"-110.823997498, 53.355800628699996"
CYVK,medium_airport,Vernon Airport,1140.0,NA,CA,CA-BC,Vernon,CYVK,YVE,,"-119.33100128173828, 50.24810028076172"
CYVL,small_airport,Tommy Kochon Airport,870.0,NA,CA,CA-NT,Colville Lake,CYVL,YCK,,"-126.126, 67.02"
CYVM,medium_airport,Qikiqtarjuaq Airport,21.0,NA,CA,CA-NU,Qikiqtarjuaq,CYVM,YVM,,"-64.03140258789999, 67.5457992554"
CYVO,medium_airport,Val-d'Or Airport,1107.0,NA,CA,CA-QC,Val-d'Or,CYVO,YVO,,"-77.7827987671, 48.0532989502"
CYVP,medium_airport,Kuujjuaq Airport,129.0,NA,CA,CA-QC,Kuujjuaq,CYVP,YVP,,"-68.4269027709961, 58.096099853515625"
CYVQ,medium_airport,Norman Wells Airport,238.0,NA,CA,CA-NT,Norman Wells,CYVQ,YVQ,,"-126.7979965209961, 65.28160095214844"
CYVR,large_airport,Vancouver International Airport,14.0,NA,CA,CA-BC,Vancouver,CYVR,YVR,,"-123.183998108, 49.193901062"
CYVT,small_airport,Buffalo Narrows Airport,1423.0,NA,CA,CA-SK,Buffalo Narrows,CYVT,YVT,,"-108.417999268, 55.8418998718"
CYVV,medium_airport,Wiarton Airport,729.0,NA,CA,CA-ON,Wiarton,CYVV,YVV,,"-81.107201, 44.7458"
CYVZ,medium_airport,Deer Lake Airport,1092.0,NA,CA,CA-ON,Deer Lake,CYVZ,YVZ,,"-94.0614013671875, 52.655799865722656"
CYWA,medium_airport,Petawawa Airport,427.0,NA,CA,CA-ON,Petawawa,CYWA,YWA,,"-77.31919860839844, 45.95220184326172"
CYWG,large_airport,Winnipeg / James Armstrong Richardson International Airport,783.0,NA,CA,CA-MB,Winnipeg,CYWG,YWG,YWG,"-97.2398986816, 49.909999847399995"
CYWJ,medium_airport,DÃ©line Airport,703.0,NA,CA,CA-NT,DÃ©line,CYWJ,YWJ,,"-123.43599700927734, 65.21109771728516"
CYWK,medium_airport,Wabush Airport,1808.0,NA,CA,CA-NL,Wabush,CYWK,YWK,,"-66.8644027709961, 52.92190170288086"
CYWL,medium_airport,Williams Lake Airport,3085.0,NA,CA,CA-BC,Williams Lake,CYWL,YWL,,"-122.054000854, 52.1831016541"
CYWP,medium_airport,Webequie Airport,685.0,NA,CA,CA-ON,Webequie,CYWP,YWP,,"-87.3748683929, 52.9593933975"
CYWY,medium_airport,Wrigley Airport,489.0,NA,CA,CA-NT,Wrigley,CYWY,YWY,,"-123.43699645996094, 63.20940017700195"
CYXC,medium_airport,Cranbrook/Canadian Rockies International Airport,3082.0,NA,CA,CA-BC,Cranbrook,CYXC,YXC,,"-115.78199768066, 49.610801696777"
CYXE,medium_airport,Saskatoon John G. Diefenbaker International Airport,1653.0,NA,CA,CA-SK,Saskatoon,CYXE,YXE,,"-106.69999694824219, 52.170799255371094"
CYXH,medium_airport,Medicine Hat Airport,2352.0,NA,CA,CA-AB,Medicine Hat,CYXH,YXH,,"-110.72100067138672, 50.01890182495117"
CYXJ,medium_airport,Fort St John Airport,2280.0,NA,CA,CA-BC,Fort St.John,CYXJ,YXJ,,"-120.73999786376953, 56.23809814453125"
CYXK,medium_airport,Rimouski Airport,82.0,NA,CA,CA-QC,Rimouski,CYXK,YXK,,"-68.49690246582031, 48.47809982299805"
CYXL,medium_airport,Sioux Lookout Airport,1258.0,NA,CA,CA-ON,Sioux Lookout,CYXL,YXL,,"-91.9052963256836, 50.11389923095703"
CYXN,medium_airport,Whale Cove Airport,40.0,NA,CA,CA-NU,Whale Cove,CYXN,YXN,,"-92.59809875490001, 62.24000167849999"
CYXP,medium_airport,Pangnirtung Airport,75.0,NA,CA,CA-NU,Pangnirtung,CYXP,YXP,,"-65.71360015869999, 66.1449966431"
CYXQ,medium_airport,Beaver Creek Airport,2131.0,NA,CA,CA-YT,Beaver Creek,CYXQ,YXQ,,"-140.86700439453125, 62.410301208496094"
CYXR,medium_airport,Earlton (Timiskaming Regional) Airport,800.0,NA,CA,CA-ON,Earlton,CYXR,YXR,,"-79.8473453522, 47.697400654599996"
CYXS,medium_airport,Prince George Airport,2267.0,NA,CA,CA-BC,Prince George,CYXS,YXS,,"-122.679000854, 53.8894004822"
CYXT,medium_airport,Northwest Regional Airport Terrace-Kitimat,713.0,NA,CA,CA-BC,Terrace,CYXT,YXT,,"-128.576009, 54.468498"
CYXU,medium_airport,London Airport,912.0,NA,CA,CA-ON,London,CYXU,YXU,,"-81.1539, 43.035599"
CYXX,medium_airport,Abbotsford Airport,195.0,NA,CA,CA-BC,Abbotsford,CYXX,YXX,,"-122.36100006103516, 49.025299072265625"
CYXY,medium_airport,Whitehorse / Erik Nielsen International Airport,2317.0,NA,CA,CA-YT,Whitehorse,CYXY,YXY,,"-135.067001343, 60.7095985413"
CYXZ,medium_airport,Wawa Airport,942.0,NA,CA,CA-ON,Wawa,CYXZ,YXZ,,"-84.78669738769531, 47.96670150756836"
CYYB,medium_airport,North Bay Jack Garland Airport,1215.0,NA,CA,CA-ON,North Bay,CYYB,YYB,,"-79.422798, 46.363602"
CYYC,large_airport,Calgary International Airport,3557.0,NA,CA,CA-AB,Calgary,CYYC,YYC,,"-114.019996643, 51.113899231"
CYYD,medium_airport,Smithers Airport,1712.0,NA,CA,CA-BC,Smithers,CYYD,YYD,,"-127.18299865722656, 54.82469940185547"
CYYE,medium_airport,Fort Nelson Airport,1253.0,NA,CA,CA-BC,Fort Nelson,CYYE,YYE,,"-122.597000122, 58.8363990784"
CYYF,medium_airport,Penticton Airport,1129.0,NA,CA,CA-BC,Penticton,CYYF,YYF,,"-119.60199737548828, 49.46310043334961"
CYYG,medium_airport,Charlottetown Airport,160.0,NA,CA,CA-PE,Charlottetown,CYYG,YYG,,"-63.12110137939453, 46.290000915527344"
CYYH,medium_airport,Taloyoak Airport,92.0,NA,CA,CA-NU,Taloyoak,CYYH,YYH,,"-93.5766983032, 69.5466995239"
CYYJ,large_airport,Victoria International Airport,63.0,NA,CA,CA-BC,Victoria,CYYJ,YYJ,,"-123.426002502, 48.646900177"
CYYL,medium_airport,Lynn Lake Airport,1170.0,NA,CA,CA-MB,Lynn Lake,CYYL,YYL,,"-101.07599639892578, 56.86389923095703"
CYYM,small_airport,Cowley Airport,3876.0,NA,CA,CA-AB,Cowley,CYYM,YYM,YYM,"-114.09400177, 49.636398315399994"
CYYN,medium_airport,Swift Current Airport,2680.0,NA,CA,CA-SK,Swift Current,CYYN,YYN,,"-107.691001892, 50.291900634799994"
CYYQ,medium_airport,Churchill Airport,94.0,NA,CA,CA-MB,Churchill,CYYQ,YYQ,,"-94.06500244140625, 58.739200592041016"
CYYR,medium_airport,Goose Bay Airport,160.0,NA,CA,CA-NL,Goose Bay,CYYR,YYR,,"-60.4258003235, 53.3191986084"
CYYT,large_airport,St. John's International Airport,461.0,NA,CA,CA-NL,St. John's,CYYT,YYT,,"-52.7518997192, 47.618598938"
CYYU,medium_airport,Kapuskasing Airport,743.0,NA,CA,CA-ON,Kapuskasing,CYYU,YYU,,"-82.46749877929688, 49.41389846801758"
CYYW,medium_airport,Armstrong Airport,1058.0,NA,CA,CA-ON,Armstrong,CYYW,YYW,,"-88.90969848632812, 50.29029846191406"
CYYY,medium_airport,Mont Joli Airport,172.0,NA,CA,CA-QC,Mont-Joli,CYYY,YYY,,"-68.20809936523438, 48.60860061645508"
CYYZ,large_airport,Lester B. Pearson International Airport,569.0,NA,CA,CA-ON,Toronto,CYYZ,YYZ,YYZ,"-79.63059997559999, 43.6772003174"
CYZD,medium_airport,Downsview Airport,652.0,NA,CA,CA-ON,Toronto,CYZD,YZD,,"-79.4655990600586, 43.74250030517578"
CYZE,medium_airport,Gore Bay Manitoulin Airport,635.0,NA,CA,CA-ON,Gore Bay,CYZE,YZE,,"-82.56780242919922, 45.88529968261719"
CYZF,medium_airport,Yellowknife Airport,675.0,NA,CA,CA-NT,Yellowknife,CYZF,YZF,,"-114.44000244140625, 62.462799072265625"
CYZG,medium_airport,Salluit Airport,743.0,NA,CA,CA-QC,Salluit,CYZG,YZG,,"-75.66719818115234, 62.17940139770508"
CYZH,medium_airport,Slave Lake Airport,1912.0,NA,CA,CA-AB,Slave Lake,CYZH,YZH,,"-114.777000427, 55.2930984497"
CYZP,medium_airport,Sandspit Airport,21.0,NA,CA,CA-BC,Sandspit,CYZP,YZP,,"-131.813995361, 53.25429916379999"
CYZR,medium_airport,Chris Hadfield Airport,594.0,NA,CA,CA-ON,Sarnia,CYZR,YZR,,"-82.30889892578125, 42.9994010925293"
CYZS,medium_airport,Coral Harbour Airport,210.0,NA,CA,CA-NU,Coral Harbour,CYZS,YZS,,"-83.3593978882, 64.1932983398"
CYZT,medium_airport,Port Hardy Airport,71.0,NA,CA,CA-BC,Port Hardy,CYZT,YZT,,"-127.36699676513672, 50.680599212646484"
CYZU,medium_airport,Whitecourt Airport,2567.0,NA,CA,CA-AB,Whitecourt,CYZU,YZU,,"-115.78700256347656, 54.14390182495117"
CYZV,medium_airport,Sept-Ãles Airport,180.0,NA,CA,CA-QC,Sept-Ãles,CYZV,YZV,,"-66.2656021118164, 50.22330093383789"
CYZW,medium_airport,Teslin Airport,2313.0,NA,CA,CA-YT,Teslin,CYZW,YZW,,"-132.7429962158203, 60.17279815673828"
CYZX,medium_airport,CFB Greenwood,92.0,NA,CA,CA-NS,Greenwood,CYZX,YZX,,"-64.91690063476562, 44.98440170288086"
CZAC,medium_airport,York Landing Airport,621.0,NA,CA,CA-MB,York Landing,CZAC,ZAC,,"-96.08920288085938, 56.08940124511719"
CZAM,medium_airport,Shuswap Regional Airport,1751.0,NA,CA,CA-BC,Salmon Arm,CZAM,YSN,,"-119.228996, 50.682802"
CZBB,medium_airport,Boundary Bay Airport,6.0,NA,CA,CA-BC,Vancouver,CZBB,YDT,,"-123.012001, 49.0742"
CZBD,medium_airport,Ilford Airport,642.0,NA,CA,CA-MB,Ilford,CZBD,ILF,,"-95.613899231, 56.0614013672"
CZBF,medium_airport,Bathurst Airport,193.0,NA,CA,CA-NB,Bathurst,CZBF,ZBF,,"-65.738899231, 47.629699707"
CZBM,medium_airport,Bromont (Roland Desourdy) Airport,375.0,NA,CA,CA-QC,Bromont,CZBM,ZBM,,"-72.74140167239999, 45.2907981873"
CZEE,medium_airport,Kelsey Airport,600.0,NA,CA,CA-MB,Kelsey,CZEE,KES,ZEE,"-96.50969696039999, 56.0374984741"
CZEM,medium_airport,Eastmain River Airport,24.0,NA,CA,CA-QC,Eastmain River,CZEM,ZEM,,"-78.52249908447266, 52.22639846801758"
CZFA,medium_airport,Faro Airport,2351.0,NA,CA,CA-YT,Faro,CZFA,ZFA,,"-133.37600708007812, 62.20750045776367"
CZFD,medium_airport,Fond-Du-Lac Airport,814.0,NA,CA,CA-SK,Fond-Du-Lac,CZFD,ZFD,,"-107.18199920654297, 59.33440017700195"
CZFG,medium_airport,Pukatawagan Airport,958.0,NA,CA,CA-MB,Pukatawagan,CZFG,XPK,ZFG,"-101.26599884, 55.7491989136"
CZFM,medium_airport,Fort Mcpherson Airport,116.0,NA,CA,CA-NT,Fort Mcpherson,CZFM,ZFM,,"-134.86099243164062, 67.40750122070312"
CZFN,medium_airport,Tulita Airport,332.0,NA,CA,CA-NT,Tulita,CZFN,ZFN,,"-125.572998, 64.909697"
CZGF,medium_airport,Grand Forks Airport,1720.0,NA,CA,CA-BC,Grand Forks,CZGF,ZGF,,"-118.43099975585938, 49.01559829711914"
CZGI,medium_airport,Gods River Airport,627.0,NA,CA,CA-MB,Gods River,CZGI,ZGI,,"-94.07859802246094, 54.839698791503906"
CZGR,medium_airport,Little Grand Rapids Airport,1005.0,NA,CA,CA-MB,Little Grand Rapids,CZGR,ZGR,,"-95.4657974243164, 52.04560089111328"
CZHP,small_airport,High Prairie Airport,1974.0,NA,CA,CA-AB,High Prairie,CZHP,ZHP,,"-116.474998474, 55.3936004639"
CZJ,small_airport,CorazÃ³n de JesÃºs Airport,8.0,NA,PA,PA-KY,CorazÃ³n de JesÃºs and NarganÃ¡ Islands,,CZJ,,"-78.5888, 9.4446"
CZJG,medium_airport,Jenpeg Airport,729.0,NA,CA,CA-MB,Jenpeg,CZJG,ZJG,,"-98.04609680175781, 54.51890182495117"
CZJN,medium_airport,Swan River Airport,1100.0,NA,CA,CA-MB,Swan River,CZJN,ZJN,,"-101.23600006103516, 52.120601654052734"
CZK,small_airport,Cascade Locks State Airport,151.0,NA,US,US-OR,Cascade Locks,KCZK,CZK,CZK,"-121.878997803, 45.6768989563"
CZKE,medium_airport,Kashechewan Airport,35.0,NA,CA,CA-ON,Kashechewan,CZKE,ZKE,,"-81.67780303955078, 52.282501220703125"
CZLQ,medium_airport,Thicket Portage Airport,678.0,NA,CA,CA-MB,Thicket Portage,CZLQ,YTD,,"-97.70780181884766, 55.31890106201172"
CZMD,medium_airport,Muskrat Dam Airport,911.0,NA,CA,CA-ON,Muskrat Dam,CZMD,MSA,,"-91.76280212402344, 53.44139862060547"
CZML,small_airport,South Cariboo Region / 108 Mile Airport,3126.0,NA,CA,CA-BC,108 Mile,CZML,ZMH,,"-121.333000183, 51.736099243199995"
CZMN,medium_airport,Pikwitonei Airport,630.0,NA,CA,CA-MB,Pikwitonei,CZMN,PIW,,"-97.16419982910156, 55.58890151977539"
CZMT,medium_airport,Masset Airport,25.0,NA,CA,CA-BC,Masset,CZMT,ZMT,,"-132.125, 54.02750015258789"
CZN,small_airport,Chisana Airport,3318.0,NA,US,US-AK,Chisana,CZN,CZN,CZN,"-142.04800415, 62.0712013245"
CZNG,medium_airport,Poplar River Airport,728.0,NA,CA,CA-MB,Poplar River,CZNG,XPP,,"-97.2741937637, 52.9965258788"
CZO,small_airport,Chistochina Airport,1850.0,NA,US,US-AK,Chistochina,CZO,CZO,CZO,"-144.669006348, 62.5634994507"
CZPB,medium_airport,Sachigo Lake Airport,876.0,NA,CA,CA-ON,Sachigo Lake,CZPB,ZPB,,"-92.19640350341797, 53.8911018371582"
CZPC,medium_airport,Pincher Creek Airport,3903.0,NA,CA,CA-AB,Pincher Creek,CZPC,WPC,,"-113.997001648, 49.520599365200006"
CZPO,small_airport,Pinehouse Lake Airport,1278.0,NA,CA,CA-SK,Pinehouse Lake,CZPO,ZPO,,"-106.582000732, 55.5280990601"
CZRJ,medium_airport,Round Lake (Weagamow Lake) Airport,974.0,NA,CA,CA-ON,Round Lake,CZRJ,ZRJ,,"-91.31279754638672, 52.943599700927734"
CZSJ,medium_airport,Sandy Lake Airport,951.0,NA,CA,CA-ON,Sandy Lake,CZSJ,ZSJ,,"-93.34439849853516, 53.06420135498047"
CZSN,medium_airport,South Indian Lake Airport,951.0,NA,CA,CA-MB,South Indian Lake,CZSN,XSI,ZSN,"-98.9072036743, 56.7928009033"
CZST,medium_airport,Stewart Airport,24.0,NA,CA,CA-BC,Stewart,CZST,ZST,CZST,"-129.982434511, 55.935410448"
CZTA,small_airport,Bloodvein River Airport,721.0,NA,CA,CA-MB,Bloodvein River,CZTA,YDV,ZTA,"-96.692305, 51.784568"
CZTM,medium_airport,Shamattawa Airport,289.0,NA,CA,CA-MB,Shamattawa,CZTM,ZTM,,"-92.0813980102539, 55.8656005859375"
CZUC,medium_airport,Ignace Municipal Airport,1435.0,NA,CA,CA-ON,Ignace,CZUC,ZUC,,"-91.7177963256836, 49.4296989440918"
CZUM,small_airport,Churchill Falls Airport,1442.0,NA,CA,CA-NL,Churchill Falls,CZUM,ZUM,,"-64.10639953613281, 53.5619010925293"
CZWH,medium_airport,Lac Brochet Airport,1211.0,NA,CA,CA-MB,Lac Brochet,CZWH,XLB,ZWH,"-101.46900177, 58.6175003052"
CZWL,medium_airport,Wollaston Lake Airport,1360.0,NA,CA,CA-SK,Wollaston Lake,CZWL,ZWL,,"-103.1719970703125, 58.10689926147461"
D38,small_airport,Canandaigua Airport,814.0,NA,US,US-NY,Ontario County IDA,KIUA,IUA,IUA,"-77.325226, 42.908902"
D66,small_airport,Delta Junction Airport,1150.0,NA,US,US-AK,Delta Junction,D66,DJN,D66,"-145.716995239, 64.0503997803"
DA14,small_airport,Mostaganem Airport,732.0,AF,DZ,DZ-27,,DA14,MQV,DA14,"0.149382993579, 35.9087982178"
DAAB,medium_airport,Blida Airport,535.0,AF,DZ,DZ-09,,DAAB,QLD,,"2.8141698837280273, 36.50360107421875"
DAAD,medium_airport,Bou Saada Airport,1506.0,AF,DZ,DZ-28,,DAAD,BUJ,,"4.206389904022217, 35.33250045776367"
DAAE,medium_airport,Soummam Airport,20.0,AF,DZ,DZ-06,BÃ©jaÃ¯a,DAAE,BJA,,"5.0699200630200005, 36.7120018005"
DAAG,large_airport,Houari Boumediene Airport,82.0,AF,DZ,DZ-35,Algiers,DAAG,ALG,,"3.215409994125366, 36.691001892089844"
DAAJ,medium_airport,Djanet Inedbirene Airport,3176.0,AF,DZ,DZ-33,Djanet,DAAJ,DJG,,"9.45244, 24.292801"
DAAP,medium_airport,Illizi Takhamalt Airport,1778.0,AF,DZ,DZ-33,Illizi,DAAP,VVZ,,"8.62265014648, 26.7234992981"
DAAS,medium_airport,Ain Arnat Airport,3360.0,AF,DZ,DZ-19,SÃ©tif,DAAS,QSF,,"5.3244900703399995, 36.178100585900005"
DAAT,medium_airport,Aguenar â Hadj Bey Akhamok Airport,4518.0,AF,DZ,DZ-11,Tamanrasset,DAAT,TMR,,"5.45107984543, 22.8115005493"
